AeroDyn airfoil file Created with QBlade v0.963 64bit on 12.03.2022 at 14:34:59 Compatible with AeroDyn v13.0.
Polar "T1_Re1.000_M0.00_N9.0 360 M" on Foil "T1_Re1.000_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
15.30          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-4.42          Angle of attack for zero Cn for linear Cn curve (deg)
5.65895        Cn slope for zero lift for linear Cn curve (1/rad)
-0.4929        Cn at stall value for positive angle of attack for linear Cn curve
-0.5328        Cn at stall value for negative angle of attack for linear Cn curve
-3.40          Angle of attack for minimum CD (deg)
0.0002         Minimum CD value
   -180.00   -0.1307    0.0060
   -179.00   -0.0531    0.0065
   -178.00    0.0239    0.0081
   -177.00    0.0977    0.0107
   -176.00    0.1621    0.0143
   -175.00    0.2096    0.0189
   -174.00    0.2369    0.0245
   -173.00    0.2482    0.0312
   -172.00    0.2517    0.0388
   -171.00    0.2541    0.0474
   -170.00    0.2587    0.0570
   -169.00    0.2664    0.0676
   -168.00    0.2768    0.0791
   -167.00    0.2893    0.0915
   -166.00    0.3032    0.1049
   -165.00    0.3179    0.1191
   -164.00    0.3329    0.1343
   -163.00    0.3480    0.1502
   -162.00    0.3628    0.1671
   -161.00    0.3772    0.1847
   -160.00    0.3910    0.2031
   -159.00    0.4042    0.2223
   -158.00    0.4165    0.2423
   -157.00    0.4280    0.2629
   -156.00    0.4387    0.2843
   -155.00    0.4484    0.3063
   -154.00    0.4573    0.3290
   -153.00    0.4652    0.3523
   -152.00    0.4721    0.3761
   -151.00    0.4781    0.4005
   -150.00    0.4831    0.4255
   -149.00    0.4873    0.4509
   -148.00    0.4905    0.4768
   -147.00    0.4928    0.5031
   -146.00    0.4942    0.5298
   -145.00    0.4948    0.5569
   -144.00    0.4945    0.5843
   -143.00    0.4934    0.6121
   -142.00    0.4915    0.6400
   -141.00    0.4888    0.6682
   -140.00    0.4854    0.6966
   -139.00    0.4813    0.7252
   -138.00    0.4765    0.7538
   -137.00    0.4711    0.7826
   -136.00    0.4650    0.8114
   -135.00    0.4584    0.8403
   -134.00    0.4512    0.8691
   -133.00    0.4435    0.8979
   -132.00    0.4353    0.9266
   -131.00    0.4266    0.9551
   -130.00    0.4175    0.9836
   -129.00    0.4080    1.0118
   -128.00    0.3981    1.0398
   -127.00    0.3879    1.0676
   -126.00    0.3774    1.0950
   -125.00    0.3666    1.1222
   -124.00    0.3556    1.1490
   -123.00    0.3443    1.1754
   -122.00    0.3328    1.2013
   -121.00    0.3211    1.2269
   -120.00    0.3093    1.2519
   -119.00    0.2974    1.2765
   -118.00    0.2853    1.3005
   -117.00    0.2732    1.3239
   -116.00    0.2609    1.3467
   -115.00    0.2487    1.3689
   -114.00    0.2364    1.3905
   -113.00    0.2240    1.4114
   -112.00    0.2117    1.4316
   -111.00    0.1993    1.4510
   -110.00    0.1870    1.4698
   -109.00    0.1681    1.4877
   -108.00    0.1557    1.5049
   -107.00    0.1433    1.5212
   -106.00    0.1310    1.5367
   -105.00    0.1187    1.5514
   -104.00    0.1065    1.5652
   -103.00    0.0944    1.5781
