Export File Created with QBlade v0.963 64bit on 12.03.2022 at 14:46:31
              Blade_S Simulation
TSR;Cp;
     1,00000e-01;     1,77211e-03;
     2,00000e-01;     3,66702e-03;
     3,00000e-01;     5,68100e-03;
     4,00000e-01;     7,79744e-03;
     5,00000e-01;     9,99379e-03;
     6,00000e-01;     1,22500e-02;
     7,00000e-01;     1,45531e-02;
     8,00000e-01;     1,69005e-02;
     9,00000e-01;     1,92962e-02;
     1,00000e+00;     2,17586e-02;
     1,10000e+00;     2,43549e-02;
     1,20000e+00;     2,71419e-02;
     1,30000e+00;     3,02448e-02;
     1,40000e+00;     3,36675e-02;
     1,50000e+00;     3,74312e-02;
     1,60000e+00;     4,15918e-02;
     1,70000e+00;     4,62015e-02;
     1,80000e+00;     5,13257e-02;
     1,90000e+00;     5,70281e-02;
     2,00000e+00;     6,33566e-02;
     2,10000e+00;     7,04009e-02;
     2,20000e+00;     7,81916e-02;
     2,30000e+00;     8,68053e-02;
     2,40000e+00;     9,62979e-02;
     2,50000e+00;     1,06716e-01;
     2,60000e+00;     1,18111e-01;
     2,70000e+00;     1,30520e-01;
     2,80000e+00;     1,43842e-01;
     2,90000e+00;     1,58165e-01;
     3,00000e+00;     1,73572e-01;
     3,10000e+00;     1,90030e-01;
     3,20000e+00;     2,07401e-01;
     3,30000e+00;     2,25479e-01;
     3,40000e+00;     2,44182e-01;
     3,50000e+00;     2,63157e-01;
     3,60000e+00;     2,82264e-01;
     3,70000e+00;     3,01369e-01;
     3,80000e+00;     3,20331e-01;
     3,90000e+00;     3,38561e-01;
     4,00000e+00;     3,55833e-01;
     4,10000e+00;     3,71896e-01;
     4,20000e+00;     3,85908e-01;
     4,30000e+00;     3,98314e-01;
     4,40000e+00;     4,09221e-01;
     4,50000e+00;     4,19094e-01;
     4,60000e+00;     4,27789e-01;
     4,70000e+00;     4,35730e-01;
     4,80000e+00;     4,43247e-01;
     4,90000e+00;     4,50053e-01;
     5,00000e+00;     4,56096e-01;
     5,10000e+00;     4,61303e-01;
     5,20000e+00;     4,66537e-01;
     5,30000e+00;     4,71115e-01;
     5,40000e+00;     4,75681e-01;
     5,50000e+00;     4,79078e-01;
     5,60000e+00;     4,81643e-01;
     5,70000e+00;     4,83689e-01;
     5,80000e+00;     4,85399e-01;
     5,90000e+00;     4,86742e-01;
     6,00000e+00;     4,88145e-01;
     6,10000e+00;     4,90919e-01;
     6,20000e+00;     4,87981e-01;
     6,30000e+00;     4,85054e-01;
     6,40000e+00;     4,83297e-01;
     6,50000e+00;     4,78470e-01;
     6,60000e+00;     4,73371e-01;
     6,70000e+00;     4,67671e-01;
     6,80000e+00;     4,63889e-01;
     6,90000e+00;     4,59490e-01;
     7,00000e+00;     4,55483e-01;
     7,10000e+00;     4,51312e-01;
     7,20000e+00;     4,47383e-01;
     7,30000e+00;     4,43287e-01;
     7,40000e+00;     4,39441e-01;
     7,50000e+00;     4,35446e-01;
     7,60000e+00;     4,31167e-01;
     7,70000e+00;     4,26952e-01;
     7,80000e+00;     4,22508e-01;
     7,90000e+00;     4,18073e-01;
     8,00000e+00;     4,13637e-01;
     8,10000e+00;     4,08824e-01;
     8,20000e+00;     4,04153e-01;
     8,30000e+00;     3,99236e-01;
     8,40000e+00;     3,94217e-01;
     8,50000e+00;     3,89108e-01;
     8,60000e+00;     3,84217e-01;
     8,70000e+00;     3,79064e-01;
     8,80000e+00;     3,73733e-01;
     8,90000e+00;     3,68087e-01;
     9,00000e+00;     3,62302e-01;
     9,10000e+00;     3,56169e-01;
     9,20000e+00;     3,50065e-01;
     9,30000e+00;     3,43637e-01;
     9,40000e+00;     3,36832e-01;
     9,50000e+00;     3,29731e-01;
     9,60000e+00;     3,22695e-01;
     9,70000e+00;     3,14770e-01;
     9,80000e+00;     3,07002e-01;
     9,90000e+00;     2,99069e-01;
     1,00000e+01;     2,91080e-01;

