Export File Created with QBlade v0.963 64bit on 12.03.2022 at 14:47:01
              Blade_S Simulation
TSR;Ct;
     1,00000e-01;     1,16557e-01;
     2,00000e-01;     1,18148e-01;
     3,00000e-01;     1,20123e-01;
     4,00000e-01;     1,22475e-01;
     5,00000e-01;     1,25165e-01;
     6,00000e-01;     1,28157e-01;
     7,00000e-01;     1,31419e-01;
     8,00000e-01;     1,34931e-01;
     9,00000e-01;     1,38666e-01;
     1,00000e+00;     1,42623e-01;
     1,10000e+00;     1,46921e-01;
     1,20000e+00;     1,51555e-01;
     1,30000e+00;     1,56636e-01;
     1,40000e+00;     1,62134e-01;
     1,50000e+00;     1,68042e-01;
     1,60000e+00;     1,74401e-01;
     1,70000e+00;     1,81242e-01;
     1,80000e+00;     1,88600e-01;
     1,90000e+00;     1,96532e-01;
     2,00000e+00;     2,05037e-01;
     2,10000e+00;     2,14227e-01;
     2,20000e+00;     2,24112e-01;
     2,30000e+00;     2,34725e-01;
     2,40000e+00;     2,46120e-01;
     2,50000e+00;     2,58287e-01;
     2,60000e+00;     2,71246e-01;
     2,70000e+00;     2,85018e-01;
     2,80000e+00;     2,99469e-01;
     2,90000e+00;     3,14709e-01;
     3,00000e+00;     3,30935e-01;
     3,10000e+00;     3,48123e-01;
     3,20000e+00;     3,66296e-01;
     3,30000e+00;     3,85305e-01;
     3,40000e+00;     4,05120e-01;
     3,50000e+00;     4,25539e-01;
     3,60000e+00;     4,46493e-01;
     3,70000e+00;     4,67826e-01;
     3,80000e+00;     4,89363e-01;
     3,90000e+00;     5,11082e-01;
     4,00000e+00;     5,32971e-01;
     4,10000e+00;     5,54398e-01;
     4,20000e+00;     5,74884e-01;
     4,30000e+00;     5,94416e-01;
     4,40000e+00;     6,12989e-01;
     4,50000e+00;     6,30872e-01;
     4,60000e+00;     6,48093e-01;
     4,70000e+00;     6,64821e-01;
     4,80000e+00;     6,81255e-01;
     4,90000e+00;     6,97318e-01;
     5,00000e+00;     7,13024e-01;
     5,10000e+00;     7,28421e-01;
     5,20000e+00;     7,43884e-01;
     5,30000e+00;     7,58968e-01;
     5,40000e+00;     7,74401e-01;
     5,50000e+00;     7,89110e-01;
     5,60000e+00;     8,02963e-01;
     5,70000e+00;     8,16515e-01;
     5,80000e+00;     8,29771e-01;
     5,90000e+00;     8,42538e-01;
     6,00000e+00;     8,55247e-01;
     6,10000e+00;     8,68635e-01;
     6,20000e+00;     8,79040e-01;
     6,30000e+00;     8,89552e-01;
     6,40000e+00;     9,01076e-01;
     6,50000e+00;     9,11026e-01;
     6,60000e+00;     9,21070e-01;
     6,70000e+00;     9,31235e-01;
     6,80000e+00;     9,41195e-01;
     6,90000e+00;     9,51039e-01;
     7,00000e+00;     9,61717e-01;
     7,10000e+00;     9,71995e-01;
     7,20000e+00;     9,82206e-01;
     7,30000e+00;     9,91935e-01;
     7,40000e+00;     1,00168e+00;
     7,50000e+00;     1,01131e+00;
     7,60000e+00;     1,02099e+00;
     7,70000e+00;     1,03055e+00;
     7,80000e+00;     1,03959e+00;
     7,90000e+00;     1,04885e+00;
     8,00000e+00;     1,05825e+00;
     8,10000e+00;     1,06744e+00;
     8,20000e+00;     1,07689e+00;
     8,30000e+00;     1,08621e+00;
     8,40000e+00;     1,09561e+00;
     8,50000e+00;     1,10505e+00;
     8,60000e+00;     1,11487e+00;
     8,70000e+00;     1,12461e+00;
     8,80000e+00;     1,13444e+00;
     8,90000e+00;     1,14416e+00;
     9,00000e+00;     1,15396e+00;
     9,10000e+00;     1,16340e+00;
     9,20000e+00;     1,17296e+00;
     9,30000e+00;     1,18224e+00;
     9,40000e+00;     1,19127e+00;
     9,50000e+00;     1,20018e+00;
     9,60000e+00;     1,20938e+00;
     9,70000e+00;     1,21782e+00;
     9,80000e+00;     1,22659e+00;
     9,90000e+00;     1,23537e+00;
     1,00000e+01;     1,24427e+00;

